Data,temperature_2m,relative_humidity_2m,cloud_cover,wind_speed_10m,precipitation_probability,rain
2025-03-18 03:00,21.772001,89.0,92.0,4.2136917,0.0,0.0
2025-03-18 04:00,21.272001,92.0,57.0,2.8799999,0.0,0.0
2025-03-18 05:00,20.722,95.0,51.0,2.1897945,0.0,0.0
2025-03-18 06:00,20.622002,96.0,100.0,2.3051248,0.0,0.0
2025-03-18 07:00,20.422,96.0,100.0,2.5455842,0.0,0.0
2025-03-18 08:00,19.922,98.0,95.0,2.1897945,0.0,0.0
2025-03-18 09:00,19.572,99.0,100.0,2.2768397,3.0,0.0
2025-03-18 10:00,19.622002,99.0,100.0,1.9386592,3.0,0.0
2025-03-18 11:00,21.622002,93.0,100.0,2.3051248,0.0,0.0
2025-03-18 12:00,22.972,87.0,100.0,3.0758414,3.0,0.0
2025-03-18 13:00,24.172,80.0,99.0,3.671294,23.0,0.0
2025-03-18 14:00,25.422,74.0,100.0,4.1046314,23.0,0.0
2025-03-18 15:00,26.622002,68.0,100.0,5.495161,18.0,0.0
2025-03-18 16:00,27.322,64.0,83.0,7.754637,8.0,0.0
2025-03-18 17:00,27.972,62.0,100.0,5.5887027,18.0,0.0
2025-03-18 18:00,27.672,62.0,100.0,3.671294,33.0,0.0
2025-03-18 19:00,25.922,70.0,100.0,6.28713,45.0,0.0
2025-03-18 20:00,23.822,79.0,100.0,4.8965297,53.0,0.0
2025-03-18 21:00,23.572,80.0,100.0,1.484318,63.0,0.0
2025-03-18 22:00,22.472,87.0,42.0,1.0182338,55.0,0.0
2025-03-18 23:00,21.822,88.0,21.0,2.0364676,63.0,0.0
2025-03-19 00:00,21.272001,90.0,29.0,3.671294,70.0,0.0
2025-03-19 01:00,20.722,92.0,47.0,2.1897945,68.0,0.0
2025-03-19 02:00,20.772001,91.0,63.0,1.2979984,50.0,0.0
2025-03-19 03:00,20.522001,91.0,61.0,2.0364676,55.0,0.0
2025-03-19 04:00,20.172,92.0,57.0,1.1384199,48.0,0.0
2025-03-19 05:00,19.672,94.0,83.0,1.9386592,35.0,0.0
2025-03-19 06:00,19.372002,95.0,82.0,1.8,28.0,0.0
2025-03-19 07:00,19.172,96.0,77.0,1.835647,15.0,0.0
2025-03-19 08:00,19.222,95.0,81.0,2.0991426,15.0,0.0
2025-03-19 09:00,19.022001,96.0,83.0,2.3051248,3.0,0.0
2025-03-19 10:00,19.222,96.0,74.0,2.0991426,3.0,0.0
2025-03-19 11:00,20.622002,93.0,84.0,3.6,5.0,0.0
2025-03-19 12:00,22.172,87.0,67.0,3.6,8.0,0.0
2025-03-19 13:00,23.422,80.0,68.0,3.6,5.0,0.0
2025-03-19 14:00,24.622002,72.0,55.0,3.4152596,8.0,0.0
2025-03-19 15:00,25.722,66.0,72.0,2.6208394,15.0,0.0
2025-03-19 16:00,26.772001,60.0,62.0,2.5959969,10.0,0.0
2025-03-19 17:00,27.422,55.0,63.0,4.452954,10.0,0.0
2025-03-19 18:00,27.772001,52.0,59.0,6.4799995,13.0,0.0
2025-03-19 19:00,27.372002,52.0,74.0,8.311245,15.0,0.0
2025-03-19 20:00,26.372002,57.0,61.0,9.885262,18.0,0.0
2025-03-19 21:00,24.972,60.0,39.0,6.8777895,8.0,0.0
2025-03-19 22:00,23.072,66.0,53.0,7.2,0.0,0.0
2025-03-19 23:00,22.072,77.0,43.0,8.4963045,0.0,0.0
2025-03-20 00:00,21.172,82.0,40.0,5.991594,0.0,0.0
2025-03-20 01:00,20.372002,86.0,46.0,5.00128,0.0,0.0
2025-03-20 02:00,19.972,88.0,62.0,4.6938257,0.0,0.0
2025-03-20 03:00,19.722,89.0,69.0,4.1046314,0.0,0.0
2025-03-20 04:00,19.222,91.0,71.0,3.319036,0.0,0.0
2025-03-20 05:00,18.772001,94.0,68.0,2.5455842,0.0,0.0
2025-03-20 06:00,18.422,94.0,65.0,1.609969,0.0,0.0
2025-03-20 07:00,18.172,93.0,65.0,1.2979984,0.0,0.0
2025-03-20 08:00,17.472,95.0,58.0,1.8,0.0,0.0
2025-03-20 09:00,16.822,96.0,43.0,2.4149535,0.0,0.0
2025-03-20 10:00,16.672,97.0,25.0,1.8,0.0,0.0
2025-03-20 11:00,19.272001,91.0,33.0,1.9386592,0.0,0.0
2025-03-20 12:00,21.422,80.0,47.0,2.9024127,0.0,0.0
2025-03-20 13:00,22.772001,72.0,50.0,2.3051248,0.0,0.0
2025-03-20 14:00,23.722,65.0,52.0,0.71999997,0.0,0.0
2025-03-20 15:00,24.972,59.0,40.0,1.609969,0.0,0.0
2025-03-20 16:00,26.122002,54.0,27.0,2.9024127,0.0,0.0
2025-03-20 17:00,26.872002,50.0,26.0,3.8268526,0.0,0.0
2025-03-20 18:00,27.122002,49.0,20.0,4.8965297,0.0,0.0
2025-03-20 19:00,26.772001,48.0,6.0,6.6087217,0.0,0.0
2025-03-20 20:00,26.172,50.0,4.0,7.653705,0.0,0.0
2025-03-20 21:00,24.372002,59.0,28.0,8.942214,0.0,0.0
2025-03-20 22:00,21.922,75.0,44.0,10.1887,0.0,0.0
2025-03-20 23:00,21.072,78.0,44.0,8.78872,0.0,0.0
2025-03-21 00:00,20.622002,82.0,54.0,7.491114,0.0,0.0
2025-03-21 01:00,20.322,82.0,56.0,6.792466,0.0,0.0
2025-03-21 02:00,19.822,84.0,53.0,5.4833565,0.0,0.0
2025-03-21 03:00,19.472,85.0,52.0,4.73506,0.0,0.0
2025-03-21 04:00,18.772001,89.0,50.0,3.6179552,0.0,0.0
2025-03-21 05:00,18.222,92.0,52.0,2.9024127,0.0,0.0
2025-03-21 06:00,17.722,94.0,56.0,2.7416782,0.0,0.0
2025-03-21 07:00,17.122002,96.0,74.0,3.2599385,0.0,0.0
2025-03-21 08:00,16.822,97.0,79.0,2.8799999,0.0,0.0
2025-03-21 09:00,16.472,99.0,80.0,2.52,0.0,0.0
2025-03-21 10:00,16.522001,98.0,77.0,2.2768397,0.0,0.0
2025-03-21 11:00,19.222,88.0,55.0,2.9024127,0.0,0.0
2025-03-21 12:00,21.072,80.0,47.0,4.198285,0.0,0.0
2025-03-21 13:00,22.372002,71.0,56.0,5.4833565,0.0,0.0
2025-03-21 14:00,23.722,64.0,50.0,5.506941,0.0,0.0
2025-03-21 15:00,24.972,58.0,34.0,4.6938252,0.0,0.0
2025-03-21 16:00,26.222,52.0,60.0,2.5455842,0.0,0.0
2025-03-21 17:00,27.122002,49.0,0.0,1.1384199,0.0,0.0
2025-03-21 18:00,27.422,46.0,8.0,0.8049845,0.0,0.0
2025-03-21 19:00,27.022001,48.0,5.0,2.2768397,0.0,0.0
2025-03-21 20:00,26.022001,53.0,3.0,4.39436,0.0,0.0
2025-03-21 21:00,24.922,59.0,0.0,5.904439,0.0,0.0
2025-03-21 22:00,23.672,67.0,17.0,6.792466,0.0,0.0
2025-03-21 23:00,22.222,76.0,34.0,7.0911775,0.0,0.0
2025-03-22 00:00,21.122002,83.0,51.0,7.289444,0.0,0.0
2025-03-22 01:00,20.572,85.0,52.0,7.172949,0.0,0.0
2025-03-22 02:00,20.272001,85.0,54.0,6.489992,0.0,0.0
2025-03-22 03:00,19.972,85.0,55.0,5.6920996,0.0,0.0
2025-03-22 04:00,19.422,87.0,66.0,4.802999,0.0,0.0
2025-03-22 05:00,18.822,91.0,76.0,3.6179552,0.0,0.0
2025-03-22 06:00,18.322,93.0,87.0,2.5455842,0.0,0.0
2025-03-22 07:00,17.772001,95.0,82.0,1.2979984,0.0,0.0
2025-03-22 08:00,17.322,96.0,76.0,1.08,0.0,0.0
2025-03-22 09:00,17.372002,95.0,71.0,1.8,0.0,0.0
2025-03-22 10:00,18.272001,90.0,81.0,2.3051248,0.0,0.0
2025-03-22 11:00,19.722,84.0,90.0,2.9024127,0.0,0.0
2025-03-22 12:00,21.122002,77.0,100.0,2.9024127,0.0,0.0
2025-03-22 13:00,22.322,71.0,100.0,2.4149535,0.0,0.0
2025-03-22 14:00,23.522001,64.0,100.0,1.2979984,0.0,0.0
2025-03-22 15:00,24.622002,59.0,100.0,0.35999998,0.0,0.0
2025-03-22 16:00,25.772001,55.0,99.0,0.8049845,0.0,0.0
2025-03-22 17:00,26.822,51.0,98.0,1.8,0.0,0.0
2025-03-22 18:00,27.272001,50.0,97.0,2.8116899,0.0,0.0
2025-03-22 19:00,26.822,51.0,65.0,4.1046314,0.0,0.0
2025-03-22 20:00,25.772001,54.0,32.0,5.692099,1.0,0.0
2025-03-22 21:00,24.622002,59.0,0.0,6.792466,2.0,0.0
2025-03-22 22:00,23.472,68.0,19.0,7.24486,2.0,0.0
2025-03-22 23:00,22.272001,78.0,39.0,7.42159,3.0,0.0
2025-03-23 00:00,21.322,86.0,58.0,7.172949,3.0,0.0
2025-03-23 01:00,20.872002,88.0,71.0,6.725354,3.0,0.0
2025-03-23 02:00,20.722,88.0,85.0,6.0347,2.0,0.0
2025-03-23 03:00,20.572,88.0,98.0,4.896529,1.0,0.0
2025-03-23 04:00,20.322,90.0,89.0,3.671294,1.0,0.0
2025-03-23 05:00,20.022001,92.0,81.0,2.6208394,0.0,0.0
2025-03-23 06:00,19.772001,94.0,72.0,2.0364676,0.0,0.0
2025-03-23 07:00,19.422,95.0,72.0,1.835647,3.0,0.0
2025-03-23 08:00,19.122002,96.0,73.0,2.1897945,3.0,0.0
2025-03-23 09:00,19.222,95.0,73.0,2.4149535,4.0,0.0
2025-03-23 10:00,19.972,92.0,77.0,2.5959969,4.0,0.0
2025-03-23 11:00,21.122002,88.0,82.0,2.3051248,4.0,0.0
2025-03-23 12:00,22.322,83.0,86.0,1.5273507,5.0,0.0
2025-03-23 13:00,23.622002,77.0,73.0,0.71999997,6.0,0.0
2025-03-23 14:00,24.972,69.0,60.0,1.8,7.0,0.0
2025-03-23 15:00,26.172,63.0,47.0,2.6208394,8.0,0.0
2025-03-23 16:00,27.222,57.0,44.0,1.9386592,10.0,0.0
2025-03-23 17:00,28.122002,52.0,42.0,1.0182338,11.0,0.0
2025-03-23 18:00,28.422,50.0,39.0,1.484318,13.0,0.0
2025-03-23 19:00,27.872002,52.0,46.0,4.3498964,15.0,0.0
2025-03-23 20:00,26.722,58.0,54.0,7.729527,16.0,0.0
2025-03-23 21:00,25.522001,64.0,61.0,10.315115,17.0,0.0
2025-03-23 22:00,24.372002,71.0,74.0,10.315115,19.0,0.0
2025-03-23 23:00,23.172,78.0,87.0,8.854829,19.0,0.0
2025-03-24 00:00,22.272001,84.0,100.0,7.5685663,20.0,0.0
2025-03-24 01:00,21.822,86.0,90.0,6.763786,20.0,0.0
2025-03-24 02:00,21.572,87.0,79.0,5.95906,20.0,0.0
2025-03-24 03:00,21.372002,88.0,69.0,5.154415,20.0,0.0
2025-03-24 04:00,21.022001,90.0,79.0,4.1046314,19.0,0.0
2025-03-24 05:00,20.622002,92.0,90.0,3.2399998,19.0,0.0
2025-03-24 06:00,20.322,94.0,100.0,2.7416782,18.0,0.0
2025-03-24 07:00,19.972,96.0,100.0,2.8116899,17.0,0.0
2025-03-24 08:00,19.672,97.0,100.0,2.5455842,16.0,0.0
2025-03-24 09:00,19.822,96.0,100.0,2.5455842,16.0,0.0
2025-03-24 10:00,20.622002,93.0,88.0,2.0991426,15.0,0.0
2025-03-24 11:00,21.822,88.0,77.0,2.16,15.0,0.0
2025-03-24 12:00,23.072,83.0,65.0,2.7416782,15.0,0.0
2025-03-24 13:00,24.322,77.0,71.0,3.319036,15.0,0.0
2025-03-24 14:00,25.672,71.0,76.0,3.8939953,16.0,0.0
2025-03-24 15:00,26.822,65.0,82.0,4.198285,17.0,0.0
2025-03-24 16:00,27.872002,60.0,82.0,3.8939953,17.0,0.0
2025-03-24 17:00,28.822,56.0,81.0,3.096837,18.0,0.0
2025-03-24 18:00,29.122002,54.0,81.0,3.0547013,20.0,0.0
2025-03-24 19:00,28.522001,56.0,87.0,4.3349743,21.0,0.0
2025-03-24 20:00,27.322,61.0,94.0,6.1305785,22.0,0.0
2025-03-24 21:00,26.172,67.0,100.0,7.2,23.0,0.0
2025-03-24 22:00,25.222,73.0,100.0,7.10031,24.0,0.0
2025-03-24 23:00,24.272001,80.0,100.0,6.28713,24.0,0.0
2025-03-25 00:00,23.522001,85.0,100.0,5.5887027,25.0,0.0
2025-03-25 01:00,22.972,88.0,98.0,5.1544156,25.0,0.0
2025-03-25 02:00,22.572,89.0,97.0,4.802999,26.0,0.0
