Data,NÃ­vel
2024-07-13 23:00,5.87
2024-07-13 22:00,5.88
2024-07-13 21:00,5.89
2024-07-13 20:00,5.92
2024-07-13 19:00,5.95
2024-07-13 18:00,5.97
2024-07-13 17:00,6.0
2024-07-13 16:00,6.03
2024-07-13 15:00,6.06
2024-07-13 14:00,6.09
2024-07-13 13:00,6.12
2024-07-13 12:00,6.15
2024-07-13 11:00,6.19
2024-07-13 10:00,6.24
2024-07-13 09:00,6.28
2024-07-13 08:00,6.31
2024-07-13 07:00,6.34
2024-07-13 06:00,6.37
2024-07-13 05:00,6.42
2024-07-13 04:00,6.45
2024-07-13 03:00,6.49
2024-07-13 02:00,6.53
2024-07-13 01:00,6.57
2024-07-13 00:00,6.62
2024-07-12 23:00,6.66
2024-07-12 22:00,6.71
2024-07-12 21:00,6.77
2024-07-12 20:00,6.81
2024-07-12 19:00,6.86
2024-07-12 18:00,6.92
2024-07-12 17:00,6.96
2024-07-12 16:00,6.99
2024-07-12 15:00,7.05
2024-07-12 14:00,7.1
2024-07-12 13:00,7.14
2024-07-12 12:00,7.21
2024-07-12 11:00,7.26
2024-07-12 10:00,7.32
2024-07-12 09:00,7.37
2024-07-12 08:00,7.4
2024-07-12 07:00,7.43
2024-07-12 06:00,7.43
2024-07-12 05:00,7.41
2024-07-12 04:00,7.38
2024-07-12 03:00,7.35
2024-07-12 02:00,7.29
2024-07-12 01:00,7.22
2024-07-12 00:00,7.11
2024-07-11 23:00,6.99
2024-07-11 22:00,6.86
2024-07-11 21:00,6.71
2024-07-11 20:00,6.54
2024-07-11 19:00,6.35
2024-07-11 18:00,6.15
2024-07-11 17:00,5.99
2024-07-11 16:00,5.85
2024-07-11 15:00,5.77
2024-07-11 14:00,5.71
2024-07-11 13:00,5.72
2024-07-11 12:00,5.71
2024-07-11 11:00,5.72
2024-07-11 10:00,5.77
2024-07-11 09:00,5.81
2024-07-11 08:00,5.84
2024-07-11 07:00,5.91
2024-07-11 06:00,5.91
2024-07-11 05:00,5.96
2024-07-11 04:00,6.01
2024-07-11 03:00,6.06
2024-07-11 02:00,6.15
2024-07-11 01:00,6.12
2024-07-11 00:00,6.14
2024-07-10 23:00,6.17
2024-07-10 22:00,6.19
2024-07-10 21:00,6.2
2024-07-10 20:00,6.24
2024-07-10 19:00,6.22
2024-07-10 18:00,6.23
2024-07-10 17:00,6.15
2024-07-10 16:00,6.18
2024-07-10 15:00,6.12
2024-07-10 14:00,6.1
2024-07-10 13:00,6.17
2024-07-10 12:00,6.21
2024-07-10 11:00,6.25
2024-07-10 10:00,6.25
2024-07-10 09:00,6.28
2024-07-10 08:00,6.28
2024-07-10 07:00,6.27
2024-07-10 06:00,6.25
2024-07-10 05:00,6.22
2024-07-10 04:00,6.21
2024-07-10 03:00,6.17
2024-07-10 02:00,6.14
2024-07-10 01:00,6.12
2024-07-10 00:00,6.09
